NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,BOLSA,FECHA
34,2858,3,25,36,50,53,55,"$101,500,000.00",26/4/2015
34,2857,2,3,8,20,51,55,"$100,000,000.00",22/4/2015
34,2856,5,14,18,33,38,54,"$98,500,000.00",19/4/2015
34,2855,12,19,28,34,42,53,"$96,500,000.00",15/4/2015
34,2854,7,9,15,23,42,44,"$94,000,000.00",12/4/2015
34,2853,35,41,43,48,49,52,"$92,500,000.00",8/4/2015
34,2852,5,14,29,30,46,55,"$91,000,000.00",5/4/2015
34,2851,7,8,10,17,26,48,"$89,500,000.00",1/4/2015
34,2850,11,16,41,43,53,56,"$88,000,000.00",29/3/2015
34,2849,13,16,24,41,44,54,"$86,500,000.00",25/3/2015
34,2848,7,12,14,18,34,41,"$85,000,000.00",22/3/2015
34,2847,5,26,39,46,52,53,"$83,000,000.00",18/3/2015
34,2846,10,11,12,39,48,51,"$81,000,000.00",15/3/2015
34,2845,6,12,25,46,47,49,"$79,500,000.00",11/3/2015
34,2844,10,26,28,34,46,55,"$78,000,000.00",8/3/2015
34,2843,11,15,29,31,36,42,"$76,500,000.00",4/3/2015
34,2842,17,18,29,31,32,39,"$74,500,000.00",1/3/2015
34,2841,5,30,33,45,47,48,"$73,000,000.00",25/2/2015
34,2840,14,29,31,45,51,55,"$71,000,000.00",22/2/2015
34,2839,1,6,9,22,29,50,"$69,500,000.00",18/2/2015
34,2838,4,5,7,26,32,53,"$68,000,000.00",15/2/2015
34,2837,22,28,29,41,43,49,"$66,000,000.00",11/2/2015
34,2836,13,15,17,28,35,43,"$64,500,000.00",8/2/2015
34,2835,6,24,40,47,48,51,"$63,000,000.00",4/2/2015
34,2834,23,25,34,37,39,51,"$61,000,000.00",1/2/2015
34,2833,1,17,27,34,42,52,"$60,000,000.00",28/1/2015
34,2832,3,19,29,31,34,37,"$58,000,000.00",25/1/2015
34,2831,7,8,15,36,46,54,"$56,000,000.00",21/1/2015
34,2830,1,2,9,12,37,47,"$54,000,000.00",18/1/2015
34,2829,10,12,19,21,32,43,"$53,000,000.00",14/1/2015
34,2828,23,25,26,32,41,48,"$52,000,000.00",11/1/2015
34,2827,3,5,37,43,44,52,"$50,000,000.00",7/1/2015
34,2826,2,7,12,18,41,54,"$48,000,000.00",4/1/2015
34,2825,17,23,51,53,54,56,"$46,000,000.00",31/12/2014
34,2824,13,19,33,37,53,56,"$44,000,000.00",28/12/2014
34,2823,1,29,32,33,42,44,"$42,500,000.00",24/12/2014
34,2822,4,7,35,42,48,49,"$41,000,000.00",21/12/2014
34,2821,7,9,12,42,44,51,"$40,000,000.00",17/12/2014
34,2820,10,28,34,35,39,55,"$38,500,000.00",14/12/2014
34,2819,2,10,25,33,39,52,"$37,000,000.00",10/12/2014
34,2818,6,10,11,15,40,49,"$35,000,000.00",7/12/2014
34,2817,5,15,22,28,41,51,"$33,500,000.00",3/12/2014
34,2816,10,16,17,24,28,55,"$31,000,000.00",30/11/2014
34,2815,2,26,27,33,39,41,"$30,000,000.00",26/11/2014
34,2814,2,22,26,32,49,51,"$29,000,000.00",23/11/2014
34,2813,3,7,18,29,54,56,"$27,500,000.00",19/11/2014
34,2812,5,14,19,23,37,54,"$25,500,000.00",16/11/2014
34,2811,4,6,19,26,29,36,"$24,000,000.00",12/11/2014
34,2810,14,24,31,49,54,56,"$22,000,000.00",9/11/2014
34,2809,35,38,39,42,46,50,"$20,000,000.00",5/11/2014
34,2808,3,6,13,20,21,44,"$18,500,000.00",2/11/2014
34,2807,3,13,20,33,49,54,"$17,000,000.00",29/10/2014
34,2806,6,12,18,19,29,36,"$15,000,000.00",26/10/2014
34,2805,1,16,27,30,37,44,"$14,000,000.00",22/10/2014
34,2804,6,17,27,38,46,52,"$13,000,000.00",19/10/2014
34,2803,4,10,11,48,49,51,"$12,500,000.00",15/10/2014
34,2802,1,7,31,36,47,54,"$12,000,000.00",12/10/2014
34,2801,4,7,10,12,31,35,"$11,500,000.00",8/10/2014
34,2800,10,22,33,45,54,56,"$11,000,000.00",5/10/2014
34,2799,7,20,31,37,50,56,"$10,500,000.00",1/10/2014
34,2798,2,9,11,20,44,56,"$10,000,000.00",28/9/2014
34,2797,1,6,15,21,25,38,"$110,000,000.00",24/9/2014
34,2796,4,6,10,38,52,53,"$108,500,000.00",21/9/2014
34,2795,8,13,18,21,30,38,"$107,000,000.00",17/9/2014
34,2794,4,24,38,40,53,56,"$105,000,000.00",14/9/2014
34,2793,15,30,37,40,51,56,"$103,500,000.00",10/9/2014
34,2792,2,3,5,23,28,51,"$102,000,000.00",7/9/2014
34,2791,14,21,28,30,34,45,"$100,000,000.00",3/9/2014
34,2790,3,6,10,22,25,27,"$98,000,000.00",31/8/2014
34,2789,12,14,19,27,40,42,"$97,000,000.00",27/8/2014
34,2788,6,13,14,29,36,54,"$95,000,000.00",24/8/2014
34,2787,13,21,35,36,37,53,"$93,000,000.00",20/8/2014
34,2786,10,11,17,29,42,46,"$91,000,000.00",17/8/2014
34,2785,3,6,9,18,19,52,"$89,000,000.00",13/8/2014
34,2784,3,6,7,11,18,36,"$87,000,000.00",10/8/2014
34,2783,5,12,14,39,50,56,"$85,500,000.00",6/8/2014
34,2782,7,19,22,32,48,49,"$83,000,000.00",3/8/2014
34,2781,12,15,24,38,45,49,"$81,500,000.00",30/7/2014
34,2780,4,18,23,45,47,53,"$79,500,000.00",27/7/2014
34,2779,1,22,24,25,26,29,"$78,000,000.00",23/7/2014
34,2778,8,23,28,41,49,53,"$76,000,000.00",20/7/2014
34,2777,7,14,19,31,35,50,"$74,500,000.00",16/7/2014
34,2776,2,4,6,15,35,37,"$72,500,000.00",13/7/2014
34,2775,3,6,38,49,53,54,"$71,000,000.00",9/7/2014
34,2774,1,4,14,33,36,45,"$69,000,000.00",6/7/2014
34,2773,6,16,43,45,47,54,"$67,000,000.00",2/7/2014
34,2772,2,5,10,29,40,48,"$65,000,000.00",29/6/2014
34,2771,6,17,32,49,54,55,"$64,000,000.00",25/6/2014
34,2770,2,4,7,16,52,54,"$63,000,000.00",22/6/2014
34,2769,12,13,31,35,37,49,"$62,000,000.00",18/6/2014
34,2768,20,24,28,30,54,55,"$59,000,000.00",15/6/2014
34,2767,2,25,26,36,37,38,"$57,000,000.00",11/6/2014
34,2766,13,14,22,24,45,51,"$55,500,000.00",8/6/2014
34,2765,9,14,20,21,32,50,"$53,500,000.00",4/6/2014
34,2764,4,11,20,25,27,40,"$51,500,000.00",1/6/2014
34,2763,6,18,24,32,33,38,"$50,000,000.00",28/5/2014
34,2762,4,25,51,53,54,55,"$48,000,000.00",25/5/2014
34,2761,2,29,30,34,48,54,"$47,000,000.00",21/5/2014
34,2760,8,19,28,33,38,45,"$44,500,000.00",18/5/2014
34,2759,4,7,19,20,34,38,"$43,000,000.00",14/5/2014
34,2758,8,10,34,45,49,56,"$41,500,000.00",11/5/2014
34,2757,9,10,17,38,50,55,"$40,000,000.00",7/5/2014
34,2756,6,13,18,35,42,53,"$38,000,000.00",4/5/2014
34,2755,4,24,26,32,38,48,"$37,000,000.00",30/4/2014
34,2754,5,8,16,32,36,39,"$34,500,000.00",27/4/2014
34,2753,3,6,8,10,34,53,"$33,000,000.00",23/4/2014
34,2752,21,37,38,40,41,56,"$31,500,000.00",20/4/2014
34,2751,9,14,22,39,42,52,"$30,000,000.00",16/4/2014
34,2750,4,8,21,31,37,41,"$28,500,000.00",13/4/2014
34,2749,1,26,32,33,47,55,"$27,000,000.00",9/4/2014
34,2748,1,15,20,21,33,48,"$25,500,000.00",6/4/2014
34,2747,4,9,11,24,33,56,"$24,000,000.00",2/4/2014
34,2746,4,29,36,38,49,56,"$22,000,000.00",30/3/2014
34,2745,5,18,20,26,27,43,"$21,000,000.00",26/3/2014
34,2744,7,24,32,34,35,51,"$19,000,000.00",23/3/2014
34,2743,17,24,27,29,32,51,"$18,000,000.00",19/3/2014
34,2742,10,13,16,23,39,42,"$16,000,000.00",16/3/2014
34,2741,9,27,31,33,42,45,"$14,500,000.00",12/3/2014
34,2740,1,17,19,25,36,53,"$13,500,000.00",9/3/2014
34,2739,10,16,28,29,37,48,"$13,000,000.00",5/3/2014
34,2738,4,13,22,29,32,40,"$12,500,000.00",2/3/2014
34,2737,11,34,43,52,54,55,"$12,000,000.00",26/2/2014
34,2736,11,29,32,43,51,52,"$11,500,000.00",23/2/2014
34,2735,6,12,41,46,52,56,"$11,000,000.00",19/2/2014
34,2734,6,8,9,13,29,48,"$10,500,000.00",16/2/2014
34,2733,3,15,16,22,30,34,"$10,000,000.00",12/2/2014
34,2732,11,13,31,39,45,53,"$96,000,000.00",9/2/2014
34,2731,10,34,39,42,44,54,"$94,000,000.00",5/2/2014
34,2730,12,13,31,34,47,50,"$92,000,000.00",2/2/2014
34,2729,8,19,34,39,41,54,"$90,500,000.00",29/1/2014
34,2728,11,15,20,24,47,48,"$89,000,000.00",26/1/2014
34,2727,16,29,38,40,48,49,"$87,000,000.00",22/1/2014
34,2726,3,5,19,28,33,56,"$85,000,000.00",19/1/2014
34,2725,12,19,22,30,39,56,"$83,500,000.00",15/1/2014
34,2724,6,7,12,22,31,45,"$81,500,000.00",12/1/2014
34,2723,11,14,21,27,47,54,"$79,500,000.00",8/1/2014
34,2722,5,14,19,46,54,55,"$78,000,000.00",5/1/2014
34,2721,2,10,24,31,35,49,"$76,000,000.00",1/1/2014
34,2720,3,7,8,17,21,48,"$74,000,000.00",29/12/2013
34,2719,2,7,31,40,53,56,"$72,500,000.00",25/12/2013
34,2718,24,25,30,35,55,56,"$71,000,000.00",22/12/2013
34,2717,7,19,29,34,41,47,"$69,000,000.00",18/12/2013
34,2716,2,18,25,41,42,51,"$67,500,000.00",15/12/2013
34,2715,3,7,30,40,48,54,"$66,000,000.00",11/12/2013
34,2714,28,31,40,49,53,54,"$64,000,000.00",8/12/2013
34,2713,11,14,39,41,47,52,"$62,000,000.00",4/12/2013
34,2712,8,17,34,37,42,43,"$60,500,000.00",1/12/2013
34,2711,15,30,34,35,38,51,"$59,000,000.00",27/11/2013
34,2710,10,13,18,26,28,37,"$57,000,000.00",24/11/2013
34,2709,5,7,20,40,42,48,"$56,000,000.00",20/11/2013
34,2708,7,22,38,42,44,54,"$54,000,000.00",17/11/2013
34,2707,3,7,19,21,25,47,"$53,000,000.00",13/11/2013
34,2706,1,8,26,33,54,55,"$51,000,000.00",10/11/2013
34,2705,5,6,18,41,54,56,"$49,000,000.00",6/11/2013
34,2704,20,27,31,42,53,54,"$47,000,000.00",3/11/2013
34,2703,11,15,17,20,22,54,"$46,000,000.00",30/10/2013
34,2702,18,22,23,26,42,49,"$44,500,000.00",27/10/2013
34,2701,11,15,19,27,36,38,"$43,000,000.00",23/10/2013
34,2700,12,15,27,44,46,48,"$41,500,000.00",20/10/2013
34,2699,23,25,32,43,49,55,"$40,000,000.00",16/10/2013
34,2698,14,21,26,30,35,39,"$38,000,000.00",13/10/2013
34,2697,6,9,23,36,45,49,"$37,000,000.00",9/10/2013
34,2696,12,18,20,23,25,44,"$35,000,000.00",6/10/2013
34,2695,21,26,35,42,44,51,"$34,000,000.00",2/10/2013
34,2694,6,17,26,31,44,48,"$32,000,000.00",29/9/2013
34,2693,8,13,21,32,35,50,"$30,500,000.00",25/9/2013
34,2692,3,7,12,26,32,46,"$28,500,000.00",22/9/2013
34,2691,8,33,42,43,44,56,"$27,500,000.00",18/9/2013
34,2690,11,15,24,36,41,53,"$26,000,000.00",15/9/2013
34,2689,4,6,13,22,26,49,"$24,500,000.00",11/9/2013
34,2688,3,6,12,24,27,44,"$22,500,000.00",8/9/2013
34,2687,7,9,20,24,31,40,"$21,000,000.00",4/9/2013
34,2686,8,18,22,36,39,56,"$19,000,000.00",1/9/2013
34,2685,2,12,24,34,41,47,"$18,000,000.00",28/8/2013
34,2684,16,24,25,39,48,52,"$16,000,000.00",25/8/2013
34,2683,16,24,42,53,54,56,"$15,000,000.00",21/8/2013
34,2682,12,25,26,36,44,50,"$13,000,000.00",18/8/2013
34,2681,11,21,24,40,53,56,"$12,500,000.00",14/8/2013
34,2680,5,14,15,28,41,55,"$12,000,000.00",11/8/2013
34,2679,18,21,35,37,43,44,"$11,500,000.00",7/8/2013
34,2678,7,11,15,16,28,49,"$11,000,000.00",4/8/2013
34,2677,10,20,21,31,33,37,"$10,500,000.00",31/7/2013
34,2676,2,4,17,18,20,40,"$10,000,000.00",28/7/2013
34,2675,7,19,25,38,40,47,"$10,000,000.00",24/7/2013
34,2674,19,34,40,46,48,52,"$19,000,000.00",21/7/2013
34,2673,27,28,33,37,44,47,"$17,000,000.00",17/7/2013
34,2672,30,31,41,43,46,49,"$14,500,000.00",14/7/2013
34,2671,3,4,11,19,45,55,"$12,500,000.00",10/7/2013
34,2670,4,28,30,33,40,56,"$11,500,000.00",7/7/2013
34,2669,29,34,36,50,51,54,"$11,000,000.00",3/7/2013
34,2668,2,7,16,18,28,33,"$10,500,000.00",30/6/2013
34,2667,1,7,9,20,37,41,"$10,000,000.00",26/6/2013
34,2666,2,3,25,28,32,42,"$210,000,000.00",23/6/2013
34,2665,2,5,24,27,35,44,"$207,000,000.00",19/6/2013
34,2664,16,22,27,33,47,55,"$203,500,000.00",16/6/2013
34,2663,3,28,32,34,50,54,"$201,500,000.00",12/6/2013
34,2662,20,27,31,33,35,45,"$198,500,000.00",9/6/2013
34,2661,7,9,25,30,46,47,"$195,000,000.00",5/6/2013
34,2660,7,14,18,27,39,46,"$192,000,000.00",2/6/2013
34,2659,15,16,21,24,33,50,"$189,000,000.00",29/5/2013
34,2658,28,34,45,46,48,55,"$186,500,000.00",26/5/2013
34,2657,12,28,31,33,52,53,"$184,000,000.00",22/5/2013
34,2656,4,8,15,19,27,43,"$181,000,000.00",19/5/2013
34,2655,16,27,35,42,51,54,"$178,000,000.00",15/5/2013
34,2654,1,6,7,9,20,30,"$176,000,000.00",12/5/2013
34,2653,17,23,30,35,48,53,"$173,000,000.00",8/5/2013
34,2652,12,17,20,21,27,41,"$170,000,000.00",5/5/2013
34,2651,2,14,18,25,36,55,"$168,000,000.00",1/5/2013
34,2650,11,12,25,29,38,50,"$164,500,000.00",28/4/2013
34,2649,10,11,18,26,31,45,"$162,500,000.00",24/4/2013
34,2648,5,14,40,44,50,54,"$160,000,000.00",21/4/2013
34,2647,16,23,31,33,36,49,"$157,500,000.00",17/4/2013
34,2646,8,11,17,23,29,40,"$155,000,000.00",14/4/2013
34,2645,6,28,33,37,49,54,"$152,500,000.00",10/4/2013
34,2644,5,11,25,29,45,54,"$149,500,000.00",7/4/2013
34,2643,13,17,18,21,37,45,"$147,000,000.00",3/4/2013
34,2642,4,30,39,47,50,53,"$144,500,000.00",31/3/2013
34,2641,6,12,18,24,32,42,"$142,500,000.00",27/3/2013
34,2640,17,18,24,32,38,42,"$140,500,000.00",24/3/2013
34,2639,27,30,39,42,44,52,"$138,500,000.00",20/3/2013
34,2638,11,15,23,24,35,40,"$136,000,000.00",17/3/2013
34,2637,10,17,33,35,36,38,"$133,500,000.00",13/3/2013
34,2636,4,14,28,30,32,36,"$131,000,000.00",10/3/2013
34,2635,2,6,13,45,46,52,"$129,000,000.00",6/3/2013
34,2634,5,11,19,40,52,55,"$126,500,000.00",3/3/2013
34,2633,2,5,18,19,33,35,"$124,000,000.00",27/2/2013
34,2632,2,27,37,41,48,54,"$122,000,000.00",24/2/2013
34,2631,3,4,17,39,48,53,"$120,500,000.00",20/2/2013
34,2630,1,17,46,48,50,52,"$118,000,000.00",17/2/2013
34,2629,6,20,22,24,44,55,"$116,000,000.00",13/2/2013
34,2628,6,14,32,33,41,50,"$114,000,000.00",10/2/2013
34,2627,15,30,33,37,52,53,"$111,500,000.00",6/2/2013
34,2626,13,22,32,33,44,53,"$110,000,000.00",3/2/2013
34,2625,10,24,26,30,43,54,"$107,500,000.00",30/1/2013
34,2624,4,8,21,35,41,56,"$105,500,000.00",27/1/2013
34,2623,2,8,13,49,50,54,"$103,500,000.00",23/1/2013
34,2622,2,21,37,41,54,56,"$101,500,000.00",20/1/2013
34,2621,1,5,12,13,30,45,"$100,000,000.00",16/1/2013
34,2620,2,6,28,29,39,50,"$97,500,000.00",13/1/2013
34,2619,5,15,24,28,32,51,"$95,500,000.00",9/1/2013
34,2618,4,26,27,31,43,51,"$93,500,000.00",6/1/2013
34,2617,22,23,27,39,49,52,"$92,000,000.00",2/1/2013
34,2616,1,16,29,37,46,52,"$90,000,000.00",30/12/2012
